mun_code,mun_name,mun_name_simple,mun_id,reg_map,reg_name
3166956,"SERRANÓPOLIS DE MINAS","SERRANOPOLIS DE MINAS",678,"NORTE DE MINAS","Norte de Minas"
3167103,SERRO,SERRO,153,"CENTRAL MINEIRA",Central
3167202,"SETE LAGOAS","SETE LAGOAS",154,"CENTRAL MINEIRA",Central
3167301,"SILVEIRÂNIA",SILVEIRANIA,287,"ZONA DA MATA",Mata
3167400,"SILVIANÓPOLIS",SILVIANOPOLIS,446,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3167509,"SIMÃO PEREIRA","SIMAO PEREIRA",288,"ZONA DA MATA",Mata
3167608,"SIMONÉSIA",SIMONESIA,289,"ZONA DA MATA",Mata
3167707,"SOBRÁLIA",SOBRALIA,845,"VALE DO RIO DOCE","Rio Doce"
3167806,"SOLEDADE DE MINAS","SOLEDADE DE MINAS",447,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3167905,TABULEIRO,TABULEIRO,290,"ZONA DA MATA",Mata
3168002,TAIOBEIRAS,TAIOBEIRAS,679,"NORTE DE MINAS","Norte de Minas"
3168101,TAPIRA,TAPIRA,520,"TRIÂNGULO MINEIRO/ALTO PARANAÍBA","Alto Paranaíba"
3168200,"TAPIRAÍ",TAPIRAI,576,"OESTE DE MINAS","Centro Oeste"
3168309,"TAQUARAÇU DE MINAS","TAQUARACU DE MINAS",155,"CENTRAL MINEIRA",Central
3168408,TARUMIRIM,TARUMIRIM,847,"VALE DO RIO DOCE","Rio Doce"
3168507,TEIXEIRAS,TEIXEIRAS,291,"ZONA DA MATA",Mata
3168606,"TEÓFILO OTONI","TEOFILO OTONI",747,JEQUITINHONHA,"Jequitinhonha / Mucuri"
3168705,"TIMÓTEO",TIMOTEO,848,"VALE DO RIO DOCE","Rio Doce"
3168804,TIRADENTES,TIRADENTES,156,"CENTRAL MINEIRA",Central
3168903,TIROS,TIROS,521,"TRIÂNGULO MINEIRO/ALTO PARANAÍBA","Alto Paranaíba"
3169000,TOCANTINS,TOCANTINS,292,"ZONA DA MATA",Mata
3169208,TOMBOS,TOMBOS,293,"ZONA DA MATA",Mata
3169307,"TRÊS CORAÇÕES","TRES CORACOES",450,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3169356,"TRÊS MARIAS","TRES MARIAS",157,"CENTRAL MINEIRA",Central
3169406,"TRÊS PONTAS","TRES PONTAS",451,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3169505,TUMIRITINGA,TUMIRITINGA,849,"VALE DO RIO DOCE","Rio Doce"
3169604,TUPACIGUARA,TUPACIGUARA,486,"TRIÂNGULO MINEIRO/ALTO PARANAÍBA","Triângulo"
3169703,TURMALINA,TURMALINA,748,JEQUITINHONHA,"Jequitinhonha / Mucuri"
3169802,"TURVOLÂNDIA",TURVOLANDIA,452,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3169901,"UBÁ",UBA,294,"ZONA DA MATA",Mata
3170008,"UBAÍ",UBAI,680,"NORTE DE MINAS","Norte de Minas"
3170057,UBAPORANGA,UBAPORANGA,850,"VALE DO RIO DOCE","Rio Doce"
3170107,UBERABA,UBERABA,487,"TRIÂNGULO MINEIRO/ALTO PARANAÍBA","Triângulo"
3170206,"UBERLÂNDIA",UBERLANDIA,488,"TRIÂNGULO MINEIRO/ALTO PARANAÍBA","Triângulo"
3170305,UMBURATIBA,UMBURATIBA,749,JEQUITINHONHA,"Jequitinhonha / Mucuri"
3170404,"UNAÍ",UNAI,593,"NOROESTE DE MINAS","Noroeste de Minas"
3170479,"URUANA DE MINAS","URUANA DE MINAS",594,"NOROESTE DE MINAS","Noroeste de Minas"
3170503,"URUCÂNIA",URUCANIA,295,"ZONA DA MATA",Mata
3170529,URUCUIA,URUCUIA,681,"NORTE DE MINAS","Norte de Minas"
3170578,"VARGEM ALEGRE","VARGEM ALEGRE",851,"VALE DO RIO DOCE","Rio Doce"
3170651,"VARGEM GRANDE DO RIO PARDO","VARGEM GRANDE DO RIO PARDO",682,"NORTE DE MINAS","Norte de Minas"
3170701,VARGINHA,VARGINHA,453,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3170750,"VARJÃO DE MINAS","VARJAO DE MINAS",595,"NOROESTE DE MINAS","Noroeste de Minas"
3170800,"VÁRZEA DA PALMA","VARZEA DA PALMA",683,"NORTE DE MINAS","Norte de Minas"
3170909,"VARZELÂNDIA",VARZELANDIA,684,"NORTE DE MINAS","Norte de Minas"
3171006,VAZANTE,VAZANTE,596,"NOROESTE DE MINAS","Noroeste de Minas"
3171030,"VERDELÂNDIA",VERDELANDIA,685,"NORTE DE MINAS","Norte de Minas"
3171105,"VERÍSSIMO",VERISSIMO,490,"TRIÂNGULO MINEIRO/ALTO PARANAÍBA","Triângulo"
3171154,"VERMELHO NOVO","VERMELHO NOVO",296,"ZONA DA MATA",Mata
3171204,VESPASIANO,VESPASIANO,158,"CENTRAL MINEIRA",Central
3171303,"VIÇOSA",VICOSA,297,"ZONA DA MATA",Mata
3171402,VIEIRAS,VIEIRAS,298,"ZONA DA MATA",Mata
3171501,"MATHIAS LOBATO","MATHIAS LOBATO",807,"VALE DO RIO DOCE","Rio Doce"
3171600,"VIRGEM DA LAPA","VIRGEM DA LAPA",751,JEQUITINHONHA,"Jequitinhonha / Mucuri"
3171709,"VIRGÍNIA",VIRGINIA,454,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3171808,"VIRGINÓPOLIS",VIRGINOPOLIS,852,"VALE DO RIO DOCE","Rio Doce"
3171907,"VIRGOLÂNDIA",VIRGOLANDIA,853,"VALE DO RIO DOCE","Rio Doce"
3172004,"VISCONDE DO RIO BRANCO","VISCONDE DO RIO BRANCO",299,"ZONA DA MATA",Mata
3172103,"VOLTA GRANDE","VOLTA GRANDE",300,"ZONA DA MATA",Mata
3139250,MAMONAS,MAMONAS,641,"NORTE DE MINAS","Norte de Minas"
3140852,"MATIAS CARDOSO","MATIAS CARDOSO",643,"NORTE DE MINAS","Norte de Minas"
3160207,"SANTO ANTÔNIO DO ITAMBÉ","SANTO ANTONIO DO ITAMBE",135,"CENTRAL MINEIRA",Central
"","","DIVERSOS MUNICÍPIOS",999,"",Estadual
"","","DIVERSOS MUNICÍPIOS",854,"CENTRAL MINEIRA",Central
"","","DIVERSOS MUNICÍPIOS",855,"ZONA DA MATA",Mata
"","","DIVERSOS MUNICÍPIOS",856,"SUL/SUDOESTE DE MINAS","Sul de Minas"
"","","DIVERSOS MUNICÍPIOS",857,"TRIÂNGULO MINEIRO/ALTO PARANAÍBA","Triângulo"
"","","DIVERSOS MUNICÍPIOS",858,"TRIÂNGULO MINEIRO/ALTO PARANAÍBA","Alto Paranaíba"
"","","DIVERSOS MUNICÍPIOS",859,"OESTE DE MINAS","Centro Oeste"
"","","DIVERSOS MUNICÍPIOS",860,"NOROESTE DE MINAS","Noroeste de Minas"
"","","DIVERSOS MUNICÍPIOS",861,"NORTE DE MINAS","Norte de Minas"
"","","DIVERSOS MUNICÍPIOS",862,JEQUITINHONHA,"Jequitinhonha / Mucuri"
"","","DIVERSOS MUNICÍPIOS",863,"VALE DO RIO DOCE","Rio Doce"
3114550,CARNEIRINHO,CARNEIRINHO,464,"TRIÂNGULO MINEIRO/ALTO PARANAÍBA","Triângulo"
3117306,"CONCEIÇÃO DAS ALAGOAS","CONCEICAO DAS ALAGOAS",468,"TRIÂNGULO MINEIRO/ALTO PARANAÍBA","Triângulo"
3133402,ITAPAGIPE,ITAPAGIPE,476,"TRIÂNGULO MINEIRO/ALTO PARANAÍBA","Triângulo"
3131158,IPABA,IPABA,792,"VALE DO RIO DOCE","Rio Doce"
3162922,"SÃO JOAQUIM DE BICAS","SAO JOAQUIM DE BICAS",143,"CENTRAL MINEIRA",Central
3108552,"BRASILÂNDIA DE MINAS","BRASILANDIA DE MINAS",580,"NOROESTE DE MINAS","Noroeste de Minas"
3114006,"CARMO DA MATA","CARMO DA MATA",532,"OESTE DE MINAS","Centro Oeste"
3114402,"CARMO DO RIO CLARO","CARMO DO RIO CLARO",338,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3117801,"CONCEIÇÃO DOS OUROS","CONCEICAO DOS OUROS",348,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3127305,"GALILÉIA",GALILEIA,784,"VALE DO RIO DOCE","Rio Doce"
